Address,old Price,Price v1,Price,Studio,Studio Price,1 Bed,1 Bed Price old,1 Bed Price,2 Bed ,2 Bed Price,Details,details w/o studio,details trim,,sqft,Links
"1516 W 78th Street, 1516 W 78th St #3B, Chicago, IL 60620","$1,180/mo","$1,180","$1,180",,,,,,2 Bed,"$1,180","2 bds 1 ba 1,001 sqft","2 bds 1 ba 1,001 sqft","2 bds 1 ba 1,001 sqft","1,001 sq","1,001",https://www.zillow.com/apartments/chicago-il/1516-w-78th-street/9RzfVm/
"5427-29 S. University Ave., 5427-29 S University Ave #5427-A3, Chicago, IL 60615","$2,150/mo","$2,150","$2,150",,,,,,2 Bed,"$2,150",2 bds 1 ba-- sqft,2 bds 1 ba-- sqft,2 bds 1 ba-- sqft, ba-- sq,,https://www.zillow.com/apartments/chicago-il/5427.dash.29-s.-university-ave./BWJMCH/
"540 N State St, Chicago, IL","$2,243+ Studio","$2,243","$2,243",Studio,"$2,243",1 Bed,"$2,503","$2,503",2 Bed,"$2,600","$2,503+ 1 bd$2,600+ 2 bds","$2,503+ 1 bd$2,600+ 2 bds","$2,503+ 1 bd$2,600+ 2 bds",#VALUE!,,https://www.zillow.com/apartments/chicago-il/grand-plaza/5Xgyyd/
"6720 N. Sheridan, 6720 N Sheridan Rd, Chicago, IL 60626","$5,000+/mo","$5,000","$5,000",Studio,"$5,000",,,,,,Studio 1 ba-- sqft, 1 ba-- sqft,1 ba-- sqft, ba-- sq,,https://www.zillow.com/apartments/chicago-il/6720-n.-sheridan/Brx7/
"Optima Lakeview | 3478 N Broadway St, Chicago, IL","$2,775+ 1 bd","$2,775","$2,775",,,1 Bed,"$2,775","$2,775",2 Bed,"$4,500","$4,500+ 2 bds$5,800+ 3 bds","$4,500+ 2 bds$5,800+ 3 bds","$4,500+ 2 bds$5,800+ 3 bds",#VALUE!,,https://www.zillow.com/apartments/chicago-il/optima-lakeview/BMfHjs/
"2104-24 W. Farragut Ave., 2104 W Farragut Ave #2116-A1, Chicago, IL 60625","$1,295/mo","$1,295","$1,295",,,1 Bed,"$1,295","$1,295",,,1 bd 1 ba 571 sqft,1 bd 1 ba 571 sqft,1 bd 1 ba 571 sqft,a 571 sq,571,https://www.zillow.com/apartments/chicago-il/2104.dash.24-w.-farragut-ave./5Xh4FR/
"1101 W. Columbia, 1101 W Columbia Ave, Chicago, IL 60626","$5,000+/mo","$5,000","$5,000",Studio,"$5,000",,,,,,Studio 1 ba-- sqft, 1 ba-- sqft,1 ba-- sqft, ba-- sq,,https://www.zillow.com/apartments/chicago-il/1101-w.-columbia/5XdnMR/
"Trailhead | 1744 N Western Ave, Chicago, IL","$2,397+ 1 bd","$2,397","$2,397",,,1 Bed,"$2,397","$2,397",,,,,,#VALUE!,,https://www.zillow.com/apartments/chicago-il/trailhead/9S5L4t/
"Foundry | 1475 N Kingsbury St, Chicago, IL","$2,279+ Studio","$2,279","$2,279",Studio,"$2,279",1 Bed,"$2,499","$2,499",2 Bed,"$3,995","$2,499+ 1 bd$3,995+ 2 bds","$2,499+ 1 bd$3,995+ 2 bds","$2,499+ 1 bd$3,995+ 2 bds",#VALUE!,,https://www.zillow.com/apartments/chicago-il/foundry/C76jxC/
"1837 W. Patterson, 1837 W Patterson Ave, Chicago, IL 60613","$5,000+/mo","$5,000","$5,000",Studio,"$5,000",,,,,,Studio 1 ba-- sqft, 1 ba-- sqft,1 ba-- sqft, ba-- sq,,https://www.zillow.com/apartments/chicago-il/1837-w.-patterson/5XcfXr/
"1647 N. Milwaukee, 1647 N Milwaukee Ave #205, Chicago, IL 60647","$2,650/mo","$2,650","$2,650",,,1 Bed,"$2,650","$2,650",,,1 bd 1 ba 761 sqft,1 bd 1 ba 761 sqft,1 bd 1 ba 761 sqft,a 761 sq,761,https://www.zillow.com/apartments/chicago-il/1647-n.-milwaukee/BgtT/
"Linkt Apartments | 830 N Milwaukee Ave, Chicago, IL","$2,196+ 1 bd","$2,196","$2,196",,,1 Bed,"$2,196","$2,196",2 Bed,"$2,825","$2,825+ 2 bds","$2,825+ 2 bds","$2,825+ 2 bds",#VALUE!,,https://www.zillow.com/apartments/chicago-il/linkt-apartments/9S4np6/
"State & Chestnut | 845 N State St, Chicago, IL","$2,265+ Studio","$2,265","$2,265",Studio,"$2,265",1 Bed,"$2,571","$2,571",2 Bed,"$4,385","$2,571+ 1 bd$4,385+ 2 bds","$2,571+ 1 bd$4,385+ 2 bds","$2,571+ 1 bd$4,385+ 2 bds",#VALUE!,,https://www.zillow.com/apartments/chicago-il/state-%26-chestnut/Cfnb/
"ELEVEN THIRTY | 1130 S Michigan Ave, Chicago, IL","$1,509+ Studio","$1,509","$1,509",Studio,"$1,509",1 Bed,"$1,879","$1,879",2 Bed,"$2,966","$1,879+ 1 bd$2,966+ 2 bds","$1,879+ 1 bd$2,966+ 2 bds","$1,879+ 1 bd$2,966+ 2 bds",#VALUE!,,https://www.zillow.com/apartments/chicago-il/eleven-thirty/5XhRHz/
